group_name,debut_year,debut_month,debut_day
Airplane,2012,January,4
B.A.P,2012,January,26
Six Bomb,2012,January,27
SPICA,2012,February,9
EXID,2012,February,16
NU’EST,2012,March,15
BTOB,2012,March,21
EXO,2012,April,8
TaeTiSeo,2012,April,29
Hello Venus,2012,May,9
JJProject,2012,May,17
She’Z,2012,May,17
Sunny Days,2012,May,18
VIXX,2012,May,24
A-JAX,2012,June,1
Cross Gene,2012,June,11
FlaShe,2012,July,4
BIGSTAR,2012,July,12
C-CLOWN,2012,July,19
GLAM,2012,July,19
Tahiti,2012,July,23
Crayon Pop,2012,July,24
D-UNIT,2012,August,1
Tiny-G,2012,August,3
AOA,2012,August,9
EvoL,2012,August,10
Skarf,2012,August,16
Two X,2012,August,16
E7,2012,August,17
FIESTAR,2012,August,31
PURETTY,2012,September,5
24K+,2012,September,6
NEP,2012,September,6
100%,2012,September,21
Goddess,2012,September,28
84LY,2012,September,30
A.Cian,2012,October,10
Queen B’Z,2012,October,16
The Seeya,2012,November,15
Pascol,2013,January,10
Year 7 Class 1,2013,January,14
SPEED,2013,January,15
BPPOP,2013,January,16
2YOON,2013,January,17
MFBTY,2013,January,21
PURPLAY,2013,February,21
Ladies’ Code,2013,March,7
Global Icon,2013,March,3
Pure,2013,April,4
Delight,2013,April,15
HISTORY,2013,April,26
LC9,2013,May,9
AltheA,2013,May,13
Boys’ Republic,2013,June,5
BTS,2013,June,13
2EYES,2013,June,20
fishingirls,2013,June,28
HINT,2013,July,10
AOA Black,2013,July,11
BESTie,2013,July,11
Live High,2013,July,30
M.Pire,2013,August,1
WA$$UP,2013,August,7
Royal Pirates,2013,August,25
AGIRLS,2013,October,21
Topp Dogg,2013,October,22
TINT,2013,October,30
AlphaBAT,2013,November,14
K-Girls,2013,November,18
Pungdeng-E,2013,December,12
BEATWIN,2014,January,6
Be.A,2014,January,7
Bebop,2014,January,14
Year 7 Class 1,2014,January,14
Aila,2014,January,15
GOT7,2014,January,16
Kiss&Cry,2014,January,25
4G,2014,February,4
Lip Service,2014,February,4
Melody Day,2014,February,25
1PS,2014,March,3
A-FATI,2014,March,6
Scarlet,2014,March,6
Sunny Days Real Vocal,2014,March,11
Wings,2014,March,12
Tri,2014,March,13
BADKIZ,2014,March,14
Troy,2014,March,14
Billion,2014,March,20
JJCC,2014,March,20
Alice White,2014,March,31
SEENROOT,2014,April,4
AKMU,2014,April,6
High4,2014,April,8
Pritz,2014,April,30
BTL,2014,May,15
Bay.B,2014,May,16
Berry Good,2014,May,21
Champagne & Candle,2014,May,23
Bob Girls,2014,June,10
Mamamoo,2014,June,19
Bigflo,2014,June,23
Halo,2014,June,27
LU4US,2014,July,4
B.I.G,2014,July,8
The LEGEND,2014,July,9
Lucky J,2014,July,17
Ye-A,2014,July,18
Red Velvet,2014,August,1
4L,2014,August,4
WINNER,2014,August,17
Chaness,2014,August,20
D.HOLIC,2014,August,23
4TEN,2014,August,26
Laboum,2014,August,28
A.KOR,2014,September,5
A.N.D.S,2014,September,15
N*White,2014,September,16
MINX,2014,September,18
Walking After U,2014,September,19
ZPZG,2014,September,25
MADTOWN,2014,October,6
UNIQ,2014,October,16
Purfles,2014,October,26
HOTSHOT,2014,October,31
Lovelyz,2014,November,12
5URPRISE,2014,November,18
The King,2014,November,28
A-Daily,2014,December,3
SONAMOO,2014,December,24
GFriend,2015,January,16
Dawg’loo,2015,January,19
Rubber Soul,2015,February,10
Bursters,2015,February,16
A-Plus,2015,February,17
Chamsonyeo,2015,February,20
Plan C,2015,February,24
Dongnae Oppa,2015,February,26
Fri.D,2015,March,10
CLC,2015,March,19
Pocket Girls,2015,April,10
The Ark,2015,April,12
OH MY GIRL,2015,April,21
M.Fect,2015,April,27
Romeo,2015,May,7
LAYSHA,2015,May,12
MONSTA X,2015,May,14
TWEETY,2015,May,19
N.Flying,2015,May,20
SEVENTEEN,2015,May,26
Drug Restaurant,2015,May,27
Baby Boo,2015,June,5
Vitamin Angel,2015,June,6
Awe5someBaby,2015,June,15
Asha,2015,June,19
Bambino,2015,June,23
PLAYBACK,2015,June,25
LoveUs,2015,July,6
As One/AS1,2015,July,13
Wanna.B,2015,July,20
10X10,2015,July,22
APRIL,2015,August,24
1TensioN,2015,August,24
MyB,2015,August,25
Unicorn,2015,September,3
DAY6,2015,September,7
UP10TION,2015,September,10
ACE,2015,September,11
DIA,2015,September,14
iKON,2015,September,15
VIVIDIVA,2015,September,15
A.H.H.A,2015,September,25
HADY,2015,September,30
Hotties,2015,October,5
ATT,2015,October,7
Icia,2015,October,19
TWICE,2015,October,20
PPL,2015,October,30
VAV,2015,October,31
MAP6,2015,November,10
Dia Girls,2015,November,12
I.C.E,2015,November,16
SNUPER,2015,November,16
Road Boyz,2015,November,17
UNIZ,2015,November,20
Goodnight Stand,2015,December,3
GIRLSGIRLS,2015,December,9
STlike,2016,January,5
IMFACT,2016,January,27
Bloomy,2016,Feburary,1
VOISPER,2016,February,2
AOA Cream,2016,February,12
WABLE,2016,February,18
ASTRO,2016,February,23
BaBa,2016,February,25
Cosmic Girls/WJSN,2016,February,25
KNK,2016,February,29
Mercury,2016,March,7
Holics,2016,March,15
MATILDA,2016,March,17
NCT,2016,April,9
NCT U,2016,April,9
Coda Bridge,2016,April,19
PIU,2016,April,15
MIXX,2016,May,3
Sol-T,2016,May,3
Bling,2016,May,4
IOI,2016,May,4
BgA,2016,May,13
New-A,2016,May,18
AFOS,2016,May,20
O21,2016,June,20
A.DE,2016,June,23
Gugudan,2016,June,28
NCT 127,2016,July,7
Vromance,2016,July,12
Lucky Girls,2016,July,25
INX,2016,August,2
9Muses A,2016,August,4
BLACKPINK,2016,August,8
Dorothy,2016,August,16
New Town Boyz,2016,August,16
I.B.I,2016,August,18
MASC,2016,August,18
NCT DREAM,2016,August,25
AxisB,2016,September,28
Queendom/Sixth Sense,2016,October,4
SF9,2016,October,5
PENTAGON,2016,October,10
Highteen,2016,October,11
Oh!Bliss,2016,October,17
Bulldok,2016,October,20
BLITY,2016,November,1
TheEastLight,2016,November,3
DICE,2016,November,9
DIP.MX,2016,November,9
VICTON,2016,November,9
MOMOLAND,2016,November,10
Ureka,2016,November,14
Sunny Girls,2016,November,27
HeyMiss,2016,December,6
Bonus Baby,2017,January,1
TST,2017,January,1
VARSITY,2017,January,3
WALWARI,2017,January,12
Dreamcatcher,2017,January,13
H2L,2017,January,16
3RACHA (Stray Kids),2017,January,18
B.HEART,2017,January,25
H.U.B,2017,February,9
TITAN,2017,February,10
Chic Angel,2017,February,16
AWESOME,2017,February,16
Rose Queen,2017,February,17
BLANC7,2017,March,3
LOONA 1/3,2017,March,12
MVP,2017,March,13
Seven O’Clock,2017,March,16
PRISTIN,2017,March,21
LIPBUBBLE,2017,March,22
Berry Chu,2017,March,27
A-Seed,2017,April,5
Charari Danchu,2017,April,5
BLACK6IX,2017,April,7
Unit Black,2017,April,10
2Wenty’s,2017,April,20
Triple H,2017,May,1
Vitamin,2017,May,7
HONEYST,2017,May,17
A.C.E,2017,May,23
MARMELLO,2017,May,24
Girls’ Alert,2017,May,25
S2U,2017,May,25
South Club,2017,May,26
ELVIN CREW,2017,May,29
ELRIS,2017,June,1
G-reyish,2017,June,1
SET,2017,June,3
Vermuda,2017,June,13
ZZBae,2017,June,15
RAMISU,2017,June,22
Favorite,2017,July,6
LIMESODA,2017,July,12
Girls Next Door,2017,July,14
KARD,2017,July,19
14U,2017,July,22
Cashcoma,2017,July,24
Pride Band,2017,July,24
MYTEEN,2017,July,26
P.O.P,2017,July,26
Apple.B,2017,August,1
ONF,2017,August,3
The Rose,2017,August,3
Wanna One,2017,August,7
Weki Meki,2017,August,8
AMOR,2017,August,10
BEBE6,2017,August,10
Hot Blood Youth,2017,August,16
S2,2017,August,24
GreatGuys,2017,August,25
S.I.S,2017,August,25
Golden Child,2017,August,28
Good Day,2017,August,30
IZ,2017,August,31
IM66,2017,September,1
The Singing Girls,2017,September,5
BAIKAL,2017,September,21
ODD EYE CIRCLE,2017,September,21
TRCNG,2017,October,10
Hashtag,2017,October,11
Hi Cutie,2017,October,12
RAINZ,2017,October,12
VIVA,2017,October,12
JBJ,2017,October,18
GEEGU,2017,October,25
IN2IT,2017,October,26
U.SSO Girl,2017,November,7
ABRY,2017,November,15
O My Jewel,2017,November,17
Hey Girls,2017,November,19
Blah Blah,2017,November,22
Chloris,2017,November,22
Yellow Bee,2017,November,23
Busters β,2017,November,27
BLK,2017,November,28
1NB,2017,November,29
THE BOYZ,2017,December,6
OG School Project,2018,January,5
GIRLKIND,2018,January,17
fromis_9,2018,January,24
TARGET,2018,January,24
Celeb Five,2018,January,25
N.TIC,2018,February,26
Sha Sha,2018,February,27
AZM,2018,March,2
W24,2018,March,8
SIOSIJAK,2018,March,12
BSS (SEVENTEEN),2018,March,21
HONEY POPCORN,2018,March,21
Stray Kids,2018,March,25
D,2018,April,1
OH MY GIRL BANHANA,2018,April,2
YDPP,2018,April,5
UNB,2018,April,7
NOIR,2018,April,9
BNF,2018,April,20
My Darling,2018,April,26
GBB,2018,May,1
i-dle,2018,May,2
SPECTRUM,2018,May,10
UNI.T,2018,May,18
Prism,2018,May,24
NTB,2018,May,28
Pristin V,2018,May,28
LOONA YYXY,2018,May,30
Fly With Me,2018,June,27
Neon Punch,2018,June,27
MUSKY,2018,July,1
SEMINA,2018,July,10
Like A Movie,2018,June,16
Saturday,2018,July,18
AiRiSU,2018,July,25
Nature,2018,August,3
D-CRUNCH,2018,August,6
First Bite,2018,August,6
Cherry On Top,2018,August,9
DIH,2018,August,15
LOONA,2018,August,20
ALiKE,2018,August,25
CAMILA,2018,August,28
TROPICAL,2018,August,30
WeGirls,2018,August,31
Kitten Girls,2018,September,4
GWSN,2018,September,5
Oh!GG,2018,September,5
YJIG,2018,September,5
Red-In-Ear,2018,September,11
LUCENTE,2018,September,18
Purple,2018,September,18
DESTINY,2018,September,28
Sugar Tint,2018,September,28
Rose Finger,2018,October,3
The Man BLK,2018,October,10
Blue Fox,2018,October,12
LST,2018,October,13
Maywish,2018,October,17
S#aFla,2018,October,18
ATEEZ,2018,October,24
Pink Fantasy,2018,October,24
IZ*ONE,2018,October,29
PIERCE,2018,October,29
JBJ95,2018,October,30
K/DA,2018,November,3
Fallanc,2018,November,4
A Train to Autumn,2018,November,5
Dreamnote,2018,November,7
MAXXAM,2018,November,7
Flavor,2018,November,26
MustB,2018,December,1
DIAWINGS,2018,December,18
flor_us,2018,December,18
M.O.N.T,2019,January,4
ONEUS,2019,January,9
PLATINUM,2019,January,9
VERIVERY,2019,January,9
WayV,2019,January,17
Cherry Bullet,2019,January,21
CoCo,2019,January,28
AWEEK,2019,January,31
Refiners,2019,February,1
ITZY,2019,February,11
VANNER,2019,February,13
TREI,2019,February,19
The Pink Lady,2019,February,20
Z-Boys,2019,February,22
Z-Girls,2019,February,23
TXT,2019,March,4
JUS2,2019,March,5
ASTIN,2019,March,7
D.A.N,2019,March,7
ARGON,2019,March,11
4CARAT,2019,March,11
The T-Bird,2019,March,14
EVERGLOW,2019,March,18
Pink Fantasy SHY,2019,March,25
1TEAM,2019,March,27
Hot Place,2019,March,29
Girl Crush,2019,April,8
BVNDIT,2019,April,10
PEACE,2019,April,12
1THE9,2019,April,13
API,2019,April,18
ENOi,2019,April,19
HIGH SCHOOL,2019,April,20
DONGKIZ,2019,April,24
New Kidd,2019,April,25
I LUV,2019,April,30
GROW.B,2019,May,2
ONEWE,2019,May,13
3YE,2019,May,21
AB6IX,2019,May,22
We In The Zone,2019,May,27
OnlyOneOf,2019,May,28
Black Bunny,2019,June,3
White Day,2019,June,14
Blue Zone Boys,2019,June,17
Purple Beck,2019,June,24
LUSTY,2019,June,26
CICI,2019,June,27
If Enough,2019,July,1
LIMITLESS,2019,July,9
UHSN,2019,July,11
CIX,2019,July,23
D1CE,2019,August,1
CSVC,2019,August,6
Fanatics,2019,August,6
VENUS,2019,August,6
Rocket Punch,2019,August,7
N.CUS,2019,August,27
X1,2019,August,27
SIGNAL,2019,August,28
Lalary,2019,August,29
VIOLET,2019,September,1
ANS,2019,September,16
TEEN TEEN,2019,September,18
K-Tigers Zero,2019,September,19
Melody Pink,2019,September,25
Super M,2019,October,4
ICU,2019,October,22
ARIAZ,2019,October,24
BDC,2019,October,29
HINAPIA,2019,November,3
SKYGIRLS,2019,November,24
BUILD UP,2019,November,24
JXR,2019,December,5
D1VERSE,2019,December,15
HWAITING,2019,December,30
DUSTIN,2020,January,5
Half Moon,2020,January,11
2Z,2020,January,14
Poetic Narrator,2020,January,31
cignature,2020,February,3
DKB,2020,Feburary,3
Episode,2020,February,4
Daydream,2020,February,23
UNVS,2020,February,23
XENEX,2020,February,26
MCND,2020,February,27
CRAXY,2020,March,3
Girls2ooo,2020,March,5
MY.st,2020,March,26
TO1,2020,April,1
Bandage,2020,April,3
CRAVITY,2020,April,14
KAACHI,2020,April,15
Burvey,2020,May,1
LUCY,2020,May,8
WOOAH (formerly woo!ah!),2020,May,15
REDSQUARE,2020,May,19
Secret Number,2020,May,19
Like Me,2020,May,24
E’LAST,2020,June,9
Weeekly,2020,June,30
Blastar,2020,July,31
Chic&Idle,2020,July,20
Maka Maka,2020,August,4
TREASURE,2020,August,7
FLORIA,2020,August,11
AREAL,2020,August,21
Byulzzi,2020,August,23
Tier 4,2020,August,23
BOTOPASS,2020,August,26
Luminous Elf,2020,September,2
LUNARSOLAR,2020,September,2
Checkmate,2020,September,21
XUM,2020,September,22
GHOST9,2020,September,23
PRECIOUS,2020,September,23
Q6IX,2020,September,23
Wiz N,2020,September,24
WEi,2020,October,5
Re,2020,October,7
WJSN CHOCOME,2020,October,7
Refund Sisters,2020,October,10
BLACKSWAN,2020,October,16
Asome.D,2020,October,19
DRIPPIN,2020,October,28
P1Harmony,2020,October,28
PRISMA,2020,October,31
BXK,2020,November,2
STAYC,2020,November,12
NEKIRU,2020,November,13
aespa,2020,November,17
BlingBling,2020,November,17
BAE173,2020,November,19
Q.O.S,2020,November,19
ENHYPEN,2020,November,30
Rolling Quartz,2020,December,30
T1419,2021,January,11
SRZN,2021,January,20
QODES,2021,February,1
TRI.BE,2021,February,17
The KingDom (formerly KINGDOM),2021,February,18
PIXY,2021,February,24
ATO6,2021,February,24
AZER,2021,March,4
WOW,2021,March,8
MAJORS,2021,March,9
CIIPHER,2021,March,15
PURPLE KISS,2021,March,15
Cookie,2021,March,15
MIRAE,2021,March,17
Eternity,2021,March,22
AR3NA,2021,March,25
NTX,2021,March,30
W.A.O,2021,April,22
HOT ISSUE,2021,April,28
Magic Girl,2021,April,29
BLITZERS,2021,May,12
WJSN THE BLACK,2021,May,12
ICECREAM,2021,May,14
LAONZENA,2021,May,31
MINIMANI,2021,June,2
Re,2021,June,6
EPEX,2021,June,8
TOP GIRL,2021,June,8
LIGHTSUM,2021,June,10
OUTLET,2021,June,27
OMEGA X,2021,June,30
JUST B,2021,June,30
MISS T,2021,July,3
Perfume,2021,July,8
Rumble.G,2021,July,14
SSOA,2021,July,15
Kizuna Simulation,2021,August,4
SKYLE,2021,August,4
PEAK & PITCH,2021,August,9
Hi-L,2021,August,10
Lemonade,2021,August,17
SOLIA,2021,August,17
Posh Girls,2021,August,18
Pastel Girls,2021,August,27
PRITTI-G,2021,August,31
Azer-Blossom,2021,September,1
KAIROS,2021,September,1
Ferry Blue,2021,September,6
ICHILLIN’,2021,September,8
MEGAMAX,2021,September,8
HyunA&DAWN,2021,September,9
LUMINOUS,2021,September,9
Sparkling,2021,September,9
UNC,2021,September,13
MANITO,2021,September,19
Beauty Box,2021,September,23
NIK,2021,September,27
Nonstop,2021,October,1
RHEA,2021,October,1
BLE,2021,October,2
Rookie,2021,October,19
bugAboo,2021,October,25
Billlie,2021,November,10
lilli lilli,2021,November,11
Kidols,2021,November,12
Asia GirlS,2021,November,18
IVE,2021,December,1
Xdinary Heroes,2021,December,6
MUZIGAE,2021,December,9
Coupsis,2021,December,10
On Top,2021,December,10
Rocking Doll,2021,December,19
Precious Daughters,2021,December,22
LALA GIRLS,2022,January,1
The Whales,2022,January,1
Kep1er,2022,January,3
GOT the beat,2022,January,3
H1-KEY,2022,January,5
TRENDZ,2022,January,5
D-art,2022,January,7
Silhouette,2022,January,7
M.M.D,2022,January,27
VIVIZ,2022,February,9
With Me,2022,February,11
JWiiver,2022,February,17
NMIXX,2022,February,22
BLACK LEVEL,2022,February,26
TEMPEST,2022,March,2
TAN,2022,March,10
Fresh,2022,March,30
Nine.i,2022,March,30
ILY,2022,April,4
AQA,2022,April,16
YOUNITE,2022,April,20
Pretty,2022,April,20
LE SSERAFIM,2022,May,2
CLASS,2022,May,5
TNX,2022,May,17
Blank2y,2022,May,24
Rush,2022,May,31
FAINIT,2022,June,13
Girls’ World,2022,June,20
LAPILLUS,2022,June,20
SUPERKIND,2022,June,20
IRRIS,2022,July,6
Daisy,2022,July,8
UiU,2022,July,11
Red Balm,2022,July,15
NewJeans,2022,July,22
CSR,2022,July,27
ATBO,2022,July,27
Bubble,2022,August,12
I1IT,2022,August,25
Black Rose,2022,August,26
Villain,2022,September,2
Cupid,2022,September,4
We;Na,2022,September,5
mimiirose,2022,September,16
Spirit,2022,September,16
POA,2022,September,21
DIGNITY,2022,September,23
CocaNButter,2022,October,6
Peach A!,2022,October,8
Winny,2022,October,14
ABLUE,2022,October,23
Queenz Eye,2022,October,24
Memoria,2022,October,28
ARTBEAT v,2022,November,16
AIMERS,2022,November,17
FIFTY FIFTY,2022,November,18
Stars,2022,November,18
XEED,2022,December,1
SHINHWA WDJ,2022,December,6
UNI,2022,December,9
HANA,2023,January,8
Cherish,2023,January,13
PRIMROSE,2023,January,13
MAVE,2023,January,25
STARDAYS,2023,January,15
ONEST,2023,January,27
THE7,2023,January,29
8TURN,2023,January,30
BXB,2023,January,30
Clair,2023,February,10
tripleS,2023,February,13
LIMELIGHT,2023,February,14
HAWW,2023,February,23
Ascension,2023,February,24
Hiding Day,2023,March,1
A-plus,2023,March,2
PLAVE,2023,March,12
LA FLOR,2023,March,13
QI.X,2023,March,22
WE,2023,March,29
xikers,2023,March,30
Delight,2023,March,31
WE US,2023,April,3
X,2023,April,11
ANTARES,2023,April,16
NCT DOJAEJUNG,2023,April,17
XODIAC,2023,April,25
CMDM,2023,April,27
+(KR)ystal Eyes (tripleS),2023,May,4
ADYA,2023,May,9
FE,2023,May,9
(M)IRROR,2023,May,12
The Wind,2023,May,15
Closer,2023,May,16
Redplum,2023,May,26
BOYNEXTDOOR,2023,May,30
NINE to SIX (DKZ),2023,May,31
ACID EYES (tripleS),2023,June,6
LUN8,2023,June,15
Bunny.T,2023,June,19
Babys,2023,June,20
Hi-Fi Un!corn,2023,June,26
T5 (TREASURE),2023,June,28
KISS OF LIFE,2023,July,5
Lucid,2023,July,7
ZEROBASEONE,2023,July,10
E,2023,July,18
BBGIRLS,2023,August,3
LOVElution (tripleS),2023,August,17
RIIZE,2023,September,4
EL7Z UP,2023,September,14
Loossemble,2023,September,15
EVNNE,2023,September,19
FANTASY BOYS,2023,September,21
82MAJOR,2023,October,11
EVOLution (tripleS),2023,October,11
POW,2023,October,11
QWER,2023,October,18
YOUNG POSSE,2023,October,18
NiziU,2023,October,30
Catch The Young,2023,November,1
WHIB,2023,November,8
AMPERS&ONE,2023,November,15
EASTSHINE,2023,November,16
LUN8wave (LUN8),2023,November,22
BABYMONSTER,2023,November,27
ONE PACT,2023,November,30
NXT (tripleS),2023,December,23
Geenius,2024,January,5
WAKER,2024,January,8
ALL(H)OURS,2024,January,10
Aria (tripleS),2024,January,15
DXMON,2024,January,17
TWS,2024,January,22
N-DAY,2024,January,24
VCHA,2024,January,26
NCT WISH,2024,February,21
NOMAD,2024,February,28
ILLIT,2024,March,25
UNIS,2024,March,27
RESCENE,2024,March,26
Candy Shop,2024,March,27
BABYMONSTER,2024,April,1
VVUP,2024,April,1
SPIA,2024,April,2
NOWADAYS,2024,April,2
ME,2024,April,17
UNICODE,2024,April,17
Big Ocean,2024,April,20
TIOT,2024,April,22
TOZ,2024,May,2
DayChild,2024,May,6
ASC2NT,2024,May,7
tripleS,2024,May,8
B-OURS,2024,May,16
NEXZ,2024,May,20
WATERFIRE,2024,May,30
ARTMS,2024,May,31
NextU,2024,May,31
BADVILLAIN,2024,June,3
I,2024,June,4
IS,2024,June,19
tripleS Glow,2024,June,21
F.CUZ Sons,2024,June,25
B.D.U,2024,June,26
BLINGONE-PE,2024,June,27
ASTELL,2024,July,9
Crazangel,2025,July,10
DIGNITY,2024,July,24
KAVE,2024,July,24
UNISON,2024,July,28
Celest1a,2024,July,31
Clear,2024,July,31
3piece,2024,August,5
O.A.Be,2024,August,10
ARrC,2024,August,19
Gen1es,2024,August,22
GENBLUE,2024,September,2
MADEIN,2024,September,3
L5ST,2024,September,3
MEOVV,2024,September,6
Dragon Pony,2024,September,26
New-L,2024,September,27
SAY MY NAME,2024,October,16
Vision@ry Vision [tripleS],2024,October,23
ODD YOUTH,2024,November,1
Toth6y [PinkFantasy X TMC],2024,November,5
W!TCHX,2024,November,6
13Found,2024,November,13
LOVEONE,2024,November,22
KELT9b,2024,November,23
izna,2024,November,25
T,2024,December,5
KYSB,2024,December,25
QUESTIONMARK,2024,December,31
XLOV,2025,January,7
Hidden Glow,2025,January,10
Kandis,2025,January,14
KickFlip,2025,January,20
IRISÉ,2025,February,14
AWIN,2025,February,16
Hearts2Hearts,2025,February,24
NouerA,2025,February,26
3WAY,2025,February,27
SUNNYKEY,2025,March,12
IN A MINUTE,2025,March,15
KiiiKiii,2025,March,24
NEWBEAT,2025,March,24
REKIREM,2025,March,24
XY,2025,March,26
Hi-Dream,2025,March,27
M.prism,2025,March,28
RE,2025,March,28
CLOSE YOUR EYES,2025,April,2
ifeye,2025,April,8
cosmosy,2025,April,11
OSDS,2025,April,24
HITGS,2025,April,28
UDTT,2025,April,29
ablume,2025,May,9
MECHANISM,2025,May,21
LADYBOUNCE,2025,May,21
UAU [Dreamcatcher],2025,May,28
KIIRAS,2025,May,29
XD [formerly XEED],2025,May,30
USPEER,2025,June,4
Re,2025,June,7
Double 0ne [FANTASY BOYS X BAE173],2025,June,12
XONIK,2025,June,16
BE BOYS,2025,June,18
BANGTAN PINK,2025,June,18
OX,2025,June,20
DIVA-X,2025,June,20
Baby DONT Cry,2025,June,23
ALLDAY PROJECT,2025,June,23
KIK,2025,June,30
AHOF,2025,July,1
CrazAngel,2025,July,10
Tomatomat,2025,July,11
Nerd on Skate,2025,July,13
FIRR,2025,July,15
1VERSE,2025,July,18
4X4,2025,July,19
Brown Tigger Band,2025,July,28
XngHan&Xoul,2025,August,1
Rainbow18 [RAINBOW],2025,August,1
N.TOP,2025,August,6
unevermet [idntt],2025,August,11
AtHeart,2025,August,13
DADADA,2025,August,13
MADEIN S [MADEIN],2025,August,14
TDYA,2025,August,14
Backstage boys,2025,August,17
CORTIS,2025,August,18
nnn,2025,August,24
IXIA,2025,August,27
iii,2025,August,29
NWH,2025,October,24
ARVVY,2025,October,30
E11iVYN,2025,October,30
AM8IC,2025,November,10
msnz [tripleS],2025,November,24
UX1 [UKISS],2025,November,26
MEPC,2025,December,8